,TIPLOC,TOC_New_x,TOC_New_y
942,GLAISDL,NT (100.0%),
943,GLASHTN,NT (100.0%),
944,GLAZBRK,NT (100.0%),
945,GLBRDYK,NT (98.51%); TP (1.49%),GR (3.51%); HT (13.22%); NT (52.93%); TP (30.34%)
946,GLDTHRP,NT (100.0%),
947,GLFCHFR,AW (100.0%),
948,GLGC,TP (100.0%),
949,GLGCLL,SR (100.0%),SR (93.37%); WR (2.21%); ZZ (4.42%)
950,GLGHST,SR (100.0%),SR (100.0%)
951,GLGN,SR (100.0%),
952,GLGQHL,SR (100.0%),
953,GLGQLL,CS (1.59%); SR (98.41%),SR (100.0%)
954,GLHM,SW (100.0%),SW (100.0%)
955,GLNCNWY,AW (100.0%),
956,GLNEGLS,CS (10.12%); GR (8.1%); SR (81.78%),
957,GLNFNNN,SR (100.0%),
958,GLNGHMK,SE (65.53%); TL (34.47%),SE (81.05%); TL (1.58%); ZZ (17.37%)
959,GLNRTHS,SR (100.0%),XC (100.0%)
960,GLOSTER,AW (18.15%); GW (50.74%); XC (31.11%),GW (16.67%); ZZ (83.33%)
961,GLSP,NT (100.0%),
962,GLYNDE,SN (100.0%),SN (100.0%)
963,GNHT,SE (60.53%); TL (39.47%),SE (100.0%)
964,GNLN,ME (100.0%),
965,GNRSBRY,LO (35.91%); LT (64.09%),LO (70.68%); LT (29.32%)
966,GNTN,AW (100.0%),
967,GNWH,SE (59.51%); TL (40.49%),SE (92.72%); TL (7.28%)
968,GOBOWEN,AW (100.0%),AW (100.0%)
969,GODLY,NT (100.0%),
970,GODMAYS,XR (100.0%),LE (55.4%); LO (6.97%); XR (37.63%)
971,GODSTON,SN (100.0%),SE (91.8%); SN (8.2%)
972,GOLFSTR,SR (100.0%),
973,GOLSPIE,SR (100.0%),
974,GOMSHAL,GW (100.0%),GW (95.79%); WR (0.36%); ZZ (3.85%)
975,GOOLE,NT (100.0%),GR (80.0%); HT (6.67%); NT (13.33%)
976,GOOSTRY,NT (100.0%),AW (37.31%); NT (20.9%); VT (34.33%); XC (5.97%); ZZ (1.49%)
977,GORASTR,GW (100.0%),GW (87.14%); LS (0.13%); WR (0.11%); XC (12.34%); ZZ (0.27%)
978,GORDONH,GN (100.0%),GC (8.14%); GN (47.97%); HT (0.58%); LD (4.07%); TL (31.1%); ZZ (8.14%)
979,GOREBRG,SR (100.0%),
980,GORNGBS,SN (98.74%); TL (1.26%),SN (100.0%)
981,GORTON,NT (100.0%),NT (9.86%); TP (90.14%)
982,GOSPLOK,LO (100.0%),LO (85.43%); SO (1.32%); WR (3.97%); ZZ (9.27%)
983,GOVS,NT (100.0%),LS (5.13%); NT (94.87%)
984,GOWERTN,AW (100.0%),AW (42.7%); GW (57.3%)
985,GOXHILL,EM (100.0%),
986,GRATELY,SW (100.0%),
987,GRAVLYH,LM (100.0%),LM (78.95%); XC (21.05%)
988,GRAYS,CC (100.0%),CC (46.51%); WR (13.95%); ZZ (39.53%)
989,GREENRD,NT (100.0%),
990,GRENCKC,SR (100.0%),SR (100.0%)
991,GRENCKW,SR (100.0%),SR (100.0%)
992,GRETGRN,LS (0.93%); SR (99.07%),
993,GRGMASJ,SR (100.0%),
994,GRGRAVE,NT (100.0%),LS (2.38%); NT (90.48%); WR (7.14%)
995,GRLCHHD,CS (25.77%); SR (74.23%),
996,GRMSBYD,EM (100.0%),EM (25.0%); TP (75.0%)
997,GRMSBYT,EM (42.08%); TP (57.92%),EM (57.41%); TP (5.56%); ZZ (37.04%)
998,GRNDLFD,EM (5.23%); NT (94.77%),EM (44.67%); NT (4.86%); TP (50.47%)
999,GRNFLDS,SR (100.0%),SR (92.86%); VT (7.14%)
1000,GROSMNT,NT (100.0%),
1001,GROSNYM,NY (100.0%),
1002,GRPK,GN (100.0%),GN (54.17%); TL (45.83%)
1003,GRSTH,LM (100.0%),
1004,GRTCSH,SR (100.0%),
1005,GRTHMG,AW (100.0%),
1006,GRVPK,SE (100.0%),SE (99.95%); ZZ (0.05%)
1007,GRVSEND,SE (48.03%); TL (51.97%),SE (90.48%); TL (8.73%); ZZ (0.79%)
1008,GSCD,SR (100.0%),SR (98.3%); ZZ (1.7%)
1009,GTAYTON,NT (100.0%),
1010,GTBNTLY,LE (100.0%),
1011,GTCHSFD,LE (100.0%),
1012,GTCOATS,EM (100.0%),EM (42.11%); TP (57.89%)
1013,GTHLAND,NY (100.0%),
1014,GTHM,EM (40.66%); GR (49.11%); HT (10.23%),CS (1.04%); EM (0.17%); GC (16.96%); GR (72.62%); HT (0.09%); LD (8.65%); ZZ (0.48%)
1015,GTMLVRN,GW (25.12%); LM (74.88%),
1016,GTMSNDN,CH (100.0%),CH (100.0%)
1017,GTSHDMC,NT (100.0%),GR (70.89%); LS (2.53%); NT (20.25%); WR (6.33%)
1018,GTWK,GW (0.01%); GX (1.95%); SN (43.48%); TL (54.56%),SN (71.47%); TL (27.88%); ZZ (0.65%)
1019,GUILDFD,GW (39.49%); SW (60.39%); WR (0.12%),SW (28.57%); WR (6.12%); ZZ (65.31%)
1020,GUISELY,NT (100.0%),NT (100.0%)
1021,GUNTON,LE (100.0%),
1022,GWRSYLT,AW (100.0%),
1023,GYPSYLA,NT (100.0%),
1024,HABRO,EM (53.9%); TP (46.1%),EM (48.91%); TP (20.65%); ZZ (30.43%)
1025,HACKNYC,LO (100.0%),LO (100.0%)
1026,HACKNYW,LO (100.0%),LO (100.0%)
1027,HADFILD,NT (100.0%),
1028,HADISCO,LE (100.0%),
1029,HADLYWD,GN (99.69%); TL (0.31%),CS (0.62%); GN (16.15%); GR (22.67%); HT (0.62%); LD (2.48%); TL (56.83%); ZZ (0.62%)
1030,HADMATP,CH (100.0%),CH (100.0%)
1031,HAGFOLD,NT (100.0%),
1032,HAGGERS,LO (100.0%),LO (100.0%)
1033,HAGLEY,CH (0.85%); LM (99.15%),
1034,HAGT,NT (100.0%),GR (100.0%)
1035,HAKNYNM,LE (19.79%); LO (80.21%),LE (92.69%); LO (7.31%)
1036,HALE,NT (100.0%),AW (100.0%)
1037,HALG,SE (100.0%),
1038,HALLRD,ME (100.0%),
1039,HALSWTH,LE (100.0%),
1040,HALW,NT (100.0%),
1041,HAMERTN,NT (100.0%),
1042,HAMLTNC,SR (100.0%),CS (60.67%); SR (37.08%); ZZ (2.25%)
