,TIPLOC,TOC_New_x,TOC_New_y
802,ELTR,TL (100.0%),EM (29.41%); TL (70.59%)
803,ELWD,LM (100.0%),
804,ELYY,EM (17.8%); GN (28.34%); LE (33.61%); XC (20.26%),LE (60.87%); XC (39.13%)
805,EMALING,SE (100.0%),SE (100.0%)
806,EMPKWAY,EM (100.0%),EM (62.3%); XC (37.7%)
807,EMSWTH,SN (100.0%),SN (99.47%); ZZ (0.53%)
808,ENFC,GN (100.0%),GN (31.25%); TL (68.75%)
809,ENFLDLK,LE (100.0%),
810,ENTWISL,NT (100.0%),
811,EPSM,SN (48.61%); SW (51.39%),SN (6.25%); SW (93.75%)
812,ERDNGTN,LM (100.0%),LM (78.95%); XC (21.05%)
813,ERGNCHP,AW (100.0%),
814,ERIDBUS,SN (100.0%),
815,ERIDGE,SN (100.0%),
816,ERITH,SE (100.0%),SE (26.53%); TL (73.47%)
817,ERLFLD,SW (100.0%),SW (100.0%)
818,ERLSTWN,AW (32.52%); NT (67.48%),AW (8.41%); EM (3.46%); NT (19.41%); TP (68.36%); ZZ (0.37%)
819,ERLY,SW (100.0%),GW (88.97%); SW (8.6%); WR (0.25%); XC (2.06%); ZZ (0.12%)
820,ESHER,SW (100.0%),SW (100.0%)
821,ESHS,SR (100.0%),CS (100.0%)
822,ESKBANK,SR (100.0%),
823,ESSEXRD,GN (100.0%),
824,ESTFLDS,SN (55.15%); TL (44.85%),SN (60.0%); TL (40.0%)
825,ESTHRAK,ME (100.0%),
826,ESTRNGT,NT (100.0%),HT (5.26%); NT (39.47%); TP (55.26%)
827,ETCHNGM,SE (100.0%),
828,ETILBRY,CC (100.0%),ZZ (100.0%)
829,EUSTON,VT (100.0%),
830,EUXT,NT (100.0%),CS (7.52%); NT (49.62%); TP (2.26%); VT (38.35%); WR (2.26%)
831,EVESHAM,GW (100.0%),ZZ (100.0%)
832,EWELLE,SN (100.0%),SN (100.0%)
833,EWELW,SW (100.0%),SW (100.0%)
834,EWRTHNG,SN (100.0%),SN (90.48%); TL (9.52%)
835,EXETERC,GW (65.61%); SW (34.39%),GW (79.41%); SW (20.59%)
836,EXETRSD,GW (86.22%); XC (13.58%); ZZ (0.21%),LS (88.89%); WR (11.11%)
837,EXETRST,GW (100.0%),GW (100.0%)
838,EXHIBTC,SR (99.88%); WR (0.12%),
839,EXTON,GW (100.0%),
840,EYNSFD,TL (100.0%),SE (100.0%)
841,FAIRLIE,SR (100.0%),
842,FALCNWD,SE (100.0%),SE (100.0%)
843,FALKRKG,CS (3.13%); GR (8.51%); SR (88.36%),
844,FALKRKH,SR (100.0%),SR (96.88%); ZZ (3.12%)
845,FALMTHT,GW (100.0%),
846,FAMBDGE,LE (100.0%),LE (100.0%)
847,FAMR,SN (100.0%),SN (85.34%); TL (14.66%)
848,FAREHAM,GW (19.2%); SN (38.27%); SW (42.54%),GW (10.05%); SN (22.11%); SW (58.79%); XC (7.04%); ZZ (2.01%)
849,FARNHAM,SW (100.0%),ZZ (100.0%)
850,FAULDHS,SR (100.0%),
851,FAVRSHM,SE (100.0%),SE (65.25%); ZZ (34.75%)
852,FAYGATE,SN (4.55%); TL (95.45%),SN (50.0%); TL (50.0%)
853,FAZKRLY,ME (100.0%),
854,FEARN,SR (100.0%),
855,FELL,TW (100.0%),
856,FELTHAM,SW (100.0%),SW (47.26%); WR (13.01%); ZZ (39.73%)
857,FENCHRS,CC (100.0%),
858,FENITON,GW (2.9%); SW (97.1%),GW (9.85%); SW (90.15%)
859,FERNHIL,AW (100.0%),
860,FERRIBY,NT (100.0%),GR (14.06%); HT (3.12%); NT (50.0%); TP (32.81%)
861,FFAIRFC,AW (100.0%),
862,FGDHGWK,AW (100.0%),
863,FILEY,NT (100.0%),
864,FILTNEW,GW (100.0%),GW (42.02%); WR (0.13%); XC (57.37%); ZZ (0.47%)
865,FINSTCK,GW (100.0%),GW (100.0%)
866,FISKRTN,EM (100.0%),EM (100.0%)
867,FITZWLM,NT (100.0%),
868,FIVEWYS,LM (100.0%),LM (39.26%); XC (60.64%); ZZ (0.1%)
869,FLEET,SW (100.0%),SW (86.18%); ZZ (13.82%)
870,FLIMBY,NT (100.0%),
871,FLINT,AW (87.49%); VT (12.51%),AW (39.13%); LS (1.74%); VT (40.87%); ZZ (18.26%)
872,FLITWCK,TL (100.0%),EM (92.42%); TL (6.64%); ZZ (0.94%)
873,FLIXTON,NT (100.0%),
874,FLKSTNC,SE (100.0%),SE (72.12%); ZZ (27.88%)
875,FLKSTNW,SE (100.0%),SE (55.56%); ZZ (44.44%)
876,FLSCRHN,SR (100.0%),
877,FLWRYFD,NT (100.0%),
878,FNCHLYR,LO (100.0%),LO (97.18%); ZZ (2.82%)
879,FNPK,GN (45.38%); LO (4.57%); TL (50.05%),CS (0.25%); GC (6.85%); GN (24.48%); GR (53.97%); HT (4.66%); LD (5.31%); TL (4.03%); ZZ (0.45%)
880,FORD,SN (100.0%),SN (99.78%); ZZ (0.22%)
881,FORESTH,LO (78.93%); SN (21.07%),LO (18.49%); SN (24.52%); TL (56.99%)
882,FORMBY,ME (100.0%),
883,FORRES,SR (100.0%),SR (44.83%); ZZ (55.17%)
884,FORSNRD,SR (100.0%),
885,FOUROKS,LM (100.0%),LM (37.1%); VT (4.52%); XC (57.47%); ZZ (0.9%)
886,FOXFILD,NT (100.0%),NT (100.0%)
887,FOXTON,GN (6.19%); TL (93.81%),GN (50.9%); TL (49.1%)
888,FRANT,SE (100.0%),SE (100.0%)
889,FRATGSA,SN (100.0%),
890,FRATTON,GW (11.33%); SN (31.0%); SW (57.67%),SN (57.69%); SW (42.31%)
891,FRBN,AW (100.0%),
892,FRBRMN,SW (100.0%),SW (96.81%); ZZ (3.19%)
893,FRBRNTH,GW (100.0%),GW (100.0%)
894,FRDSHM,AW (85.87%); NT (14.13%),AW (100.0%)
895,FRESHFD,GW (100.0%),GW (100.0%)
896,FRFD,NT (100.0%),
897,FRIMLEY,SW (100.0%),SW (100.0%)
898,FRINTON,LE (100.0%),
899,FRNCMB,SW (100.0%),SW (97.22%); XC (2.78%)
900,FRNDNLT,TL (100.0%),TL (100.0%)
901,FRNDXR,XR (100.0%),XR (100.0%)
902,FRNNGRD,SE (100.0%),SE (100.0%)
903,FRNW,NT (100.0%),
904,FROME,GW (69.92%); LS (1.69%); SW (28.39%),
905,FRSHFLD,ME (100.0%),
906,FRSTGT,XR (100.0%),CC (7.96%); LE (72.12%); LO (5.75%); XR (11.5%); ZZ (2.65%)
907,FRTMTLD,SR (100.0%),SR (100.0%)
908,FRTWLM,SR (100.0%),
909,FRWATER,AW (100.0%),
910,FRZNGHL,NT (100.0%),
911,FSHBBUS,SN (100.0%),
912,FSHBORN,SN (100.0%),SN (100.0%)
913,FSHRSGT,SN (100.0%),SN (93.1%); TL (6.9%)
914,FSTR,LM (100.0%),ZZ (100.0%)
915,FTHRSTN,NT (100.0%),
916,FULWELL,SW (100.0%),SW (100.0%)
917,FURNESV,NT (100.0%),
918,FURZEP,GW (100.0%),
919,FYSD,AW (91.6%); GW (8.4%),AW (89.72%); GW (10.28%)
920,GALASLS,SR (100.0%),
921,GALTILL,AW (24.89%); LM (75.11%),VT (100.0%)
922,GALTINT,CH (2.97%); LM (97.03%),CH (20.31%); LM (47.66%); VT (22.27%); XC (9.77%)
923,GARFRTH,NT (85.45%); TP (14.55%),
924,GARROWH,SR (100.0%),CS (100.0%)
925,GARSDLE,NT (100.0%),LS (11.76%); NT (70.59%); WR (17.65%)
926,GARTH,AW (100.0%),
927,GARVE,SR (100.0%),
928,GARW,NT (100.0%),
929,GATHRST,NT (100.0%),
930,GATLEY,NT (65.92%); TP (34.08%),AW (21.15%); NT (40.38%); TP (38.46%)
931,GBGHLRD,EM (20.1%); NT (79.9%),GR (56.52%); NT (43.48%)
932,GBNK,NT (100.0%),AW (100.0%)
933,GDLMING,SW (100.0%),
934,GERRDSX,CH (100.0%),CH (99.95%); LS (0.05%)
935,GFLD,TP (100.0%),NT (1.95%); TP (97.49%); WR (0.14%); ZZ (0.42%)
936,GGLSWCK,NT (100.0%),
937,GIDB,NT (100.0%),NT (8.16%); TP (91.42%); ZZ (0.42%)
938,GIDEAPK,XR (100.0%),LE (89.74%); LO (0.72%); XR (8.99%); ZZ (0.54%)
939,GIFNOCK,SR (100.0%),
940,GIPSYH,SN (100.0%),SN (89.36%); TL (10.64%)
941,GIRVAN,SR (100.0%),
